"Label (Grouping)","Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Margin of Error","Salt Lake City-Murray, UT Metro Area!!Estimate","Salt Lake City-Murray, UT Metro Area!!Margin of Error","Salt Lake City-Murray, UT Metro Area!!Percent","Salt Lake City-Murray, UT Metro Area!!Percent Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Percent","San Francisco-Oakland-Fremont, CA Metro Area!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","4,192,070","±3,645","4,192,070","(X)","1,024,487","±2,388","1,024,487","(X)","3,891,217","±4,020","3,891,217","(X)"
"        In labor force","2,902,714","±16,061","69.2%","±0.4","740,585","±6,061","72.3%","±0.6","2,597,997","±15,396","66.8%","±0.4"
"            Civilian labor force","2,897,942","±16,276","69.1%","±0.4","738,520","±6,107","72.1%","±0.6","2,592,978","±15,288","66.6%","±0.4"
"                Employed","2,783,693","±17,395","66.4%","±0.4","709,079","±7,271","69.2%","±0.7","2,449,233","±16,796","62.9%","±0.4"
"                Unemployed","114,249","±7,492","2.7%","±0.2","29,441","±3,905","2.9%","±0.4","143,745","±7,940","3.7%","±0.2"
"            Armed Forces","4,772","±1,660","0.1%","±0.1","2,065","±846","0.2%","±0.1","5,019","±1,591","0.1%","±0.1"
"        Not in labor force","1,289,356","±15,308","30.8%","±0.4","283,902","±6,173","27.7%","±0.6","1,293,220","±15,711","33.2%","±0.4"
"    Civilian labor force","2,897,942","±16,276","2,897,942","(X)","738,520","±6,107","738,520","(X)","2,592,978","±15,288","2,592,978","(X)"
"        Unemployment Rate","(X)","(X)","3.9%","±0.3","(X)","(X)","4.0%","±0.5","(X)","(X)","5.5%","±0.3"
"    Females 16 years and over","2,163,043","±3,111","2,163,043","(X)","505,572","±1,683","505,572","(X)","1,963,210","±3,034","1,963,210","(X)"
"        In labor force","1,419,519","±10,114","65.6%","±0.5","337,603","±5,319","66.8%","±1.1","1,222,963","±10,965","62.3%","±0.6"
"            Civilian labor force","1,417,649","±10,255","65.5%","±0.5","337,201","±5,287","66.7%","±1.0","1,221,816","±10,973","62.2%","±0.6"
"                Employed","1,366,476","±10,262","63.2%","±0.5","323,591","±5,547","64.0%","±1.1","1,158,373","±11,488","59.0%","±0.6"
"    Own children of the householder under 6 years","289,139","±4,208","289,139","(X)","88,357","±2,998","88,357","(X)","260,414","±4,747","260,414","(X)"
"        All parents in family in labor force","227,829","±5,809","78.8%","±1.9","55,378","±3,828","62.7%","±3.9","192,983","±6,365","74.1%","±1.9"
"    Own children of the householder 6 to 17 years","630,413","±5,898","630,413","(X)","211,903","±4,708","211,903","(X)","575,169","±5,172","575,169","(X)"
"        All parents in family in labor force","509,570","±10,046","80.8%","±1.5","152,673","±6,836","72.0%","±2.8","432,587","±9,169","75.2%","±1.4"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","2,728,323","±18,621","2,728,323","(X)","697,049","±6,702","697,049","(X)","2,392,426","±17,466","2,392,426","(X)"
